,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dmel-demo,HTML
28,dnikit,Python
29,eidas,Go
30,example-package-dealer,Swift
31,example-package-deckofplayingcards,Swift
32,example-package-figlet,Swift
33,example-package-fisheryates,Swift
34,example-package-playingcard,Swift
35,FHIRModels,Swift
36,foundationdb,C++
37,fstools,C
38,game-center-tools,Python
39,GCGC,Jupyter Notebook
40,homebrew-apple,Ruby
41,HomeKitADK,C
42,learning-compressible-subspaces,Python
43,learning-subspaces,Python
44,live-caller-id-lookup-example,Swift
45,llvm-monorepo-root,
46,llvm-project-v5,C++
47,llvm-project-v5-split,C++
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-bloop,Python
65,ml-calibration,Jupyter Notebook
66,ml-capsules-inverted-attention-routing,Python
67,ml-cifar-10-faster,Python
68,ml-code-switched-speech-translation,Python
69,ml-codeswitching-translations,
70,ml-collegial-ensembles,Python
71,ml-compress-and-compare,Python
72,ml-core,Python
73,ml-covid-mobility,R
74,ml-cread,Python
75,ml-cross-entropy,Python
76,ml-cubifyanything,Python
77,ml-cvnets,Python
78,ml-cvpr2019-swd,Python
79,ml-dab,Python
80,ml-data-parameters,Python
81,ml-dataset-decomposition,Python
82,ml-delphi,
83,ml-depth-pro,Python
84,ml-destseg,Python
85,ml-diffusion-alignment-gflownet,Python
86,ml-direct2.5,Python
87,ml-divide-or-conquer,Python
88,ml-dms-dataset,Python
89,ml-dprecs,Jupyter Notebook
90,ml-dr,Python
91,ml-duet,Python
92,ml-entity-deduction-arena,Python
93,ml-entropy-reconstruction,Python
94,ml-envmapnet,Python
95,ml-equivariant-neural-rendering,Jupyter Notebook
96,ml-facelit,Python
97,ml-famae,Python
98,ml-fastvit,Python
99,ml-fct,Python
100,ml-ferret,Python
101,ml-finerecon,Python
102,ml-flair,Jupyter Notebook
103,ml-flextok,Jupyter Notebook
104,ml-gaudi,
105,ml-gbc,Python
106,ml-gendered-translation,Ruby
107,ml-gmpi,Python
108,ml-gsm-symbolic,
109,ml-gsn,Python
110,ml-hd-gist,Python
111,ml-heart-rate-models,Python
112,ml-hierarchical-confusion-matrix,TypeScript
113,ml-hugs,Python
114,ml-hypercloning,Python
115,ml-hypersim,Python
116,ml-interactive-data-augmentation,Svelte
117,ml-internal-llms-instruction-following,Python
118,ml-interspeech2022-phi_rtn,
119,ml-jointnet,Python
120,ml-key-retrieval-code-tasks,Python
121,ml-keyframer,JavaScript
122,ml-kg-mt,Python
123,ml-kge,Python
124,ml-knowledge-conflicts,Python
125,ml-kpconvx,Python
126,ml-live-pose,
127,ml-llarp,Python
128,ml-lucid-datagen,Python
129,ml-mad-bench,Jupyter Notebook
130,ml-mcf,Python
131,ml-mdm,Python
132,ml-mgie,Python
133,ml-mia-bench,Jupyter Notebook
134,ml-MixupMP,Python
135,ml-mkqa,Python
136,ml-mobileclip,Python
137,ml-mobileone,Swift
138,ml-mofi,Python
139,ml-multiple-futures-prediction,Python
140,ml-mycelium,JavaScript
141,ml-ncg,Python
142,ml-negative-sampling,Python
143,ml-neilf,Python
144,ml-neilfpp,Python
145,ml-neuman,Python
146,ml-no-token-left-behind,Jupyter Notebook
147,ml-np-rasp,Python
148,ml-nvas3d,Python
149,ml-ogen,Python
150,ml-pgdvs,Python
151,ml-planner,Python
152,ml-pointconvformer,Python
153,ml-pointersect,Python
154,ml-probabilistic-attention,Python
155,ml-projunit,Python
156,ml-qrecc,Python
157,ml-quant,Python
158,ml-recurrent-drafter,Python
159,ml-reed,Python
160,ml-reversal-blessing,Python
161,ml-rlgrad,Python
162,ml-robust-expert-augmentations,Python
163,ml-rpm-bench,Python
164,ml-sad,Python
165,ml-sage-dialog-gen,Python
166,ml-sampleplan,Python
167,ml-selfcond,Python
168,ml-shuffling-amplification,Python
169,ml-sigma-reparam,Python
170,ml-sigmoid-attention,Python
171,ml-slowfast-llava,Python
172,ml-spatial-librispeech,
173,ml-speech-is-more-than-words,
174,ml-spin,Python
175,ml-stable-diffusion,Python
176,ml-stabledreamer,
177,ml-stuttering-events-dataset,Python
178,ml-superposition-prompting,Python
179,ml-symphony,Svelte
180,ml-tarflow,Python
181,ml-tic-clip,Python
182,ml-tic-lm,Python
183,ml-toad,Python
184,ml-tract,Python
185,ml-transcript-translation-consistency-ratings,
186,ml-translate-vis,TypeScript
187,ml-tree-dst,Python
188,ml-tune-mode-convbn,Python
189,ml-tweak,Python
190,ml-uncertainty-llms-instruction-following,Python
191,ml-upscale,Jupyter Notebook
192,ml-uwac,Python
193,ml-veclip,Jupyter Notebook
194,ml-vfi-smiff,Python
195,ml-vfm-kt,
196,ml-vision-transformers-ane,Python
197,ml-vivid,Python
198,music-feed-examples,Java
199,openjdk,Java
200,parameterized-transforms,Python
201,password-manager-resources,JavaScript
202,pfl-research,Jupyter Notebook
203,pkl,Java
204,pkl-evolution,
205,pkl-go,Go
206,pkl-go-examples,Go
207,pkl-intellij,Kotlin
208,pkl-jvm-examples,Groovy
209,pkl-k8s,Pkl
210,pkl-k8s-examples,Pkl
211,pkl-lang.org,JavaScript
212,pkl-lsp,Kotlin
213,pkl-neovim,Scheme
214,pkl-package-docs,Kotlin
215,pkl-pantry,Pkl
216,pkl-project-commons,Pkl
217,pkl-spring,Java
218,pkl-swift,Swift
219,pkl-swift-examples,Swift
220,pkl-vscode,TypeScript
221,pkl.tmbundle,Pkl
222,pytorch-speech-features,Python
223,rules_pkl,Starlark
224,sample-backyard-birds,Swift
225,sample-cloudkit-coredatasync,Swift
226,sample-cloudkit-encryption,Swift
227,sample-cloudkit-privatedb,Swift
228,sample-cloudkit-privatedb-sync,Swift
229,sample-cloudkit-queries,Swift
230,sample-cloudkit-sharing,Swift
231,sample-cloudkit-sync-engine,Swift
232,sample-cloudkit-tooling,JavaScript
233,sample-cloudkit-zonesharing,Swift
234,sample-food-truck,Swift
235,security-pcc,Swift
236,servicetalk,Java
237,swift-3-api-guidelines-review,Swift
238,swift-algorithms,Swift
239,swift-argument-parser,Swift
240,swift-asn1,Swift
241,swift-async-algorithms,Swift
242,swift-async-dns-resolver,Swift
243,swift-atomics,Swift
244,swift-cassandra-client,Swift
245,swift-certificates,Swift
246,swift-clang,C++
247,swift-clang-tools-extra,C++
248,swift-cluster-membership,Swift
249,swift-cmake-examples,CMake
250,swift-collections,Swift
251,swift-collections-benchmark,Swift
252,swift-compiler-rt,C
253,swift-container-plugin,Swift
254,swift-crypto,Assembly
255,swift-distributed-actors,Swift
256,swift-distributed-tracing,Swift
257,swift-distributed-tracing-baggage-core,Swift
258,swift-distributed-tracing-extras,Swift
259,swift-embedded-examples,Swift
260,swift-evolution-staging,Swift
261,swift-for-wasm-examples,Swift
262,swift-getting-started-cli,Swift
263,swift-getting-started-package-library,Swift
264,swift-homomorphic-encryption,Swift
265,swift-homomorphic-encryption-protobuf,
266,swift-http-structured-headers,Swift
267,swift-http-types,Swift
268,swift-internals,HTML
269,swift-issues,
270,swift-libcxx,C++
271,swift-llbuild2,Swift
272,swift-lldb,C++
273,swift-llvm,LLVM
274,swift-log,Swift
275,swift-matter-examples,Swift
276,swift-metrics,Swift
277,swift-metrics-extras,Swift
278,swift-migration-guide,Markdown
279,swift-mmio,Swift
280,swift-nio,Swift
281,swift-nio-examples,Swift
282,swift-nio-extras,Swift
283,swift-nio-http2,Swift
284,swift-nio-imap,Swift
285,swift-nio-nghttp2-support,Swift
286,swift-nio-oblivious-http,Swift
287,swift-nio-ssh,Swift
288,swift-nio-ssl,Assembly
289,swift-nio-ssl-support,Swift
290,swift-nio-transport-services,Swift
291,swift-nio-zlib-support,Swift
292,swift-numerics,Swift
293,swift-openapi-generator,Swift
294,swift-openapi-runtime,Swift
295,swift-openapi-urlsession,Swift
296,swift-playdate-examples,Swift
297,swift-protobuf,Swift
298,swift-protobuf-plugin,
299,swift-protobuf-test-conformance,
300,swift-sample-distributed-actors-transport,Swift
301,swift-service-context,Swift
302,swift-service-discovery,Swift
303,swift-standard-library-preview,Swift
304,swift-statsd-client,Swift
305,swift-string-processing-benchmarks,Swift
306,swift-system,Swift
307,swift-tools-support-async,Swift
308,swift-xcode-playground-support,Swift
309,swiftpm-on-llbuild2,Swift
310,tensor-visualizer,Svelte
311,tensorflow_macos,Shell
312,ToolSandbox,Python
313,tree-sitter-pkl,Kotlin
314,turicreate,C++
315,unityplugins,C#
316,VideoFlashingReduction,Mathematica
317,visatronic-demo,HTML
318,vqg-multimodal-assistant,Python
